"Object","ID","COUNTRY","GAS","Markets","Thread","Norm","Valve Type","Chrome pleted","Pressure","Residual Pressure","Connection Type","Material","Photo","Price"
12705,"Val001","Italy","Acetylene (C2H2)","All markets","D. 20 x D. 10","UNI 4411/1","Standard (25E)","Not",200,"Not","C - Yoke Outlet","Brass","Brass_YokeOutlet.jpg","6.50"
12706,"Val002","Italy","Acetylene (C2H2)","All markets","G 5/8"" Left","UNI 4411/2","Standard (25E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.50"
12707,"Val003","Italy","Anhydr. Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12708,"Val004","Italy","Anhydr. Ammonia (NH3)","All markets","W 30 x 1/14"" Left","UNI 4407","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12709,"Val005","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12710,"Val006","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12711,"Val007","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12712,"Val008","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12713,"Val009","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12714,"Val010","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12715,"Val011","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard mignon (17E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","7.50"
12716,"Val012","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Standard (25E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Female.jpg","7.50"
12717,"Val013","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12718,"Val014","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12719,"Val015","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12720,"Val016","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12721,"Val017","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","Yes",200,"Not","A - Female","Brass chrome plated","BC_Female.jpg","6.50"
12722,"Val018","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","Yes",200,"Not","A - Female","Brass chrome plated","BC_Female.jpg","6.50"
12723,"Val019","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","6.00"
12724,"Val020","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","6.00"
12725,"Val021","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Standard mignon (17E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12726,"Val022","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Standard (25E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12727,"Val023","Italy","Compressed Air","Medical","W 30 x 1/14""","UNI 4410","Standard mignon (17E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12728,"Val024","Italy","Compressed Air","Medical","W 30 x 1/14""","UNI 4410","Standard (25E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12729,"Val025","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Standard mignon (17E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12730,"Val026","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Standard (25E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12731,"Val027","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Standard mignon (17E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12732,"Val028","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Standard (25E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12733,"Val029","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Standard mignon (17E)","Yes",200,"Not","A - Female","Brass chrome plated","BC_Female.jpg","6.50"
12734,"Val030","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Standard (25E)","Yes",200,"Not","A - Female","Brass chrome plated","BC_Female.jpg","6.50"
12735,"Val031","Italy","Chlorine (Cl2)","All markets","W 1"" x 1/8""","UNI 4408","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12736,"Val032","Italy","Chlorine (Cl2)","All markets","W 1"" x 1/8""","UNI 4408","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12737,"Val033","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12738,"Val034","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12739,"Val035","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Standard mignon (17E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12740,"Val036","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Standard (25E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12741,"Val037","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Standard mignon (17E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12742,"Val038","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Standard (25E)","-",200,"Not","A - Female","Steel","Steel_Female.jpg","90.00"
12743,"Val039","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Standard mignon (17E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12744,"Val040","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Standard (25E)","Not",200,"Not","A - Female","Brass","Brass_Female.jpg","6.00"
12745,"Val041","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12746,"Val042","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12747,"Val043","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","6.00"
12748,"Val044","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","6.00"
12749,"Val045","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12750,"Val046","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12751,"Val047","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","6.00"
12752,"Val048","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","6.00"
12753,"Val049","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard mignon (17E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12754,"Val050","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Standard (25E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12755,"Val051","Italy","Propane (C3H8)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/P","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12756,"Val052","Italy","Propane (C3H8)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/P","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12757,"Val053","Italy","Nitrous Oxide (N2O)","All markets","G 3/8"" A","UNI 9097","Standard mignon (17E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","7.50"
12758,"Val054","Italy","Nitrous Oxide (N2O)","All markets","G 3/8"" A","UNI 9097","Standard (25E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","7.50"
12759,"Val055","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Standard mignon (17E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12760,"Val056","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Standard (25E)","-",200,"Not","B - Male","Steel","Steel_Male.jpg","90.00"
12761,"Val057","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Standard mignon (17E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12762,"Val058","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Standard (25E)","Not",200,"Not","B - Male","Brass","Brass_Male.jpg","7.00"
12763,"Val059","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual mignon (17E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","10.50"
12764,"Val060","Italy","Carbon Dioxide (CO2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual (25E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","10.50"
12765,"Val061","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Residual mignon (17E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12766,"Val062","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Residual (25E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12767,"Val063","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Residual mignon (17E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","10.50"
12768,"Val064","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Residual (25E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","10.50"
12769,"Val065","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Residual mignon (17E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","11.00"
12770,"Val066","Italy","Carbon Dioxide (CO2)","Medical","D 27 x 2","ISO 5145 Gr.2","Residual (25E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","11.00"
12771,"Val067","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Residual mignon (17E)","-",200,"Residual","A - Female","Steel","Steel_Female.jpg","100.00"
12772,"Val068","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Residual (25E)","-",200,"Residual","A - Female","Steel","Steel_Female.jpg","100.00"
12773,"Val069","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Residual mignon (17E)","Not",200,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12774,"Val070","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Residual (25E)","Not",200,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12775,"Val071","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Residual mignon (17E)","Yes",200,"Residual","A - Female","Brass chrome plated","BC_Female.jpg","9.50"
12776,"Val072","Italy","Argon (Ar)","All markets","W 24,5 x 1/14""","UNI 4412","Residual (25E)","Yes",200,"Residual","A - Female","Brass chrome plated","BC_Female.jpg","9.50"
12777,"Val073","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Residual mignon (17E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","9.50"
12778,"Val074","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Residual (25E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","9.50"
12779,"Val075","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Residual mignon (17E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
12780,"Val076","Italy","Compressed Air","All markets","W 30 x 1/14""","UNI 4410","Residual (25E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
12781,"Val077","Italy","Compressed Air","Medical","W 30 x 1/14""","UNI 4410","Residual mignon (17E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
12782,"Val078","Italy","Compressed Air","Medical","W 30 x 1/14""","UNI 4410","Residual (25E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
12783,"Val079","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Residual mignon (17E)","-",200,"Residual","A - Female","Steel","Steel_Female.jpg","100.00"
12784,"Val080","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Residual (25E)","-",200,"Residual","A - Female","Steel","Steel_Female.jpg","100.00"
12785,"Val081","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Residual mignon (17E)","Not",200,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12786,"Val082","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Residual (25E)","Not",200,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12787,"Val083","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Residual mignon (17E)","Yes",200,"Residual","A - Female","Brass chrome plated","BC_Female.jpg","9.50"
12788,"Val084","Italy","Nitrogen (N2)","All markets","W 21,7 x 1/14""","UNI 4409","Residual (25E)","Yes",200,"Residual","A - Female","Brass chrome plated","BC_Female.jpg","9.50"
12789,"Val085","Italy","Chlorine (Cl2)","All markets","W 1"" x 1/8""","UNI 4408","Residual mignon (17E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12790,"Val086","Italy","Chlorine (Cl2)","All markets","W 1"" x 1/8""","UNI 4408","Residual (25E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12791,"Val087","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Residual mignon (17E)","-",200,"Residual","A - Female","Steel","Steel_Female.jpg","100.00"
12792,"Val088","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Residual (25E)","-",200,"Residual","A - Female","Steel","Steel_Female.jpg","100.00"
12793,"Val089","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Residual mignon (17E)","Not",200,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12794,"Val090","Italy","Helium (He)","All markets","W 24,5 x 1/14""","UNI 4412","Residual (25E)","Not",200,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12795,"Val091","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Residual mignon (17E)","-",300,"Residual","A - Female","Steel","Steel_Female.jpg","100.00"
12796,"Val092","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Residual (25E)","-",300,"Residual","A - Female","Steel","Steel_Female.jpg","9.00"
12797,"Val093","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Residual mignon (17E)","Not",300,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12798,"Val094","Italy","Helium (He)","All markets","W 30","ISO 5145 Gr5","Residual (25E)","Not",300,"Residual","A - Female","Brass","Brass_Female.jpg","9.00"
12799,"Val095","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Residual mignon (17E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12800,"Val096","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Residual (25E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12801,"Val097","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Residual mignon (17E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","9.00"
12802,"Val098","Italy","Hidrogen (H2)","All markets","W 20 x 1/14"" Sinistro","UNI 4405/H","Residual (25E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","9.00"
12803,"Val099","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual mignon (17E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12804,"Val100","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual (25E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12805,"Val101","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual mignon (17E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","9.50"
12806,"Val102","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual (25E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","9.50"
12807,"Val103","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual mignon (17E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
12808,"Val104","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Residual (25E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
12809,"Val105","Italy","Nitrous Oxide (N2O)","All markets","G 3/8"" A","UNI 9097","Residual mignon (17E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","11.00"
12810,"Val106","Italy","Nitrous Oxide (N2O)","All markets","G 3/8"" A","UNI 9097","Residual (25E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","11.00"
12811,"Val107","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Residual mignon (17E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12812,"Val108","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Residual (25E)","-",200,"Residual","B - Male","Steel","Steel_Male.jpg","100.00"
12813,"Val109","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Residual mignon (17E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","10.00"
12814,"Val110","Italy","Refrigerant","All markets","W 21,7 x 1/14""","UNI 4406","Residual (25E)","Not",200,"Residual","B - Male","Brass","Brass_Male.jpg","10.00"
12815,"Val111","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Reducer Standard mignon (17E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12816,"Val112","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Reducer Standard (25E)","Yes",200,"Not","B - Male","Brass chrome plated","BC_Male.jpg","6.50"
12817,"Val113","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Reducer Standard mignon (17E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
12818,"Val114","Italy","Oxygen (O2)","All markets","W 21,7 x 1/14""","UNI 4406","Reducer Standard (25E)","Yes",200,"Residual","B - Male","Brass chrome plated","BC_Male.jpg","10.00"
