"Object","Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
0,0,"MU120","Italy","Toner, cartucce","Lexmark","Cartuccia 14N0918 nero","Cartuccia 14N0918 nero",1,1527,FALSO,FALSO,"SMR","N012",FALSO,VERO
15616,12043,"MU121","Italy","Toner, cartucce","Minolta","Cartuccia nero Minolta Page 1390 MF","Cartuccia nero Minolta Page 1390 MF",1,"91.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
15617,12044,"MU122","Italy","Toner, cartucce","Minolta","Toner fax 1600 F","Toner fax 1600 F",1,"108.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15618,12045,"MU123","Italy","Toner, cartucce","Oki","Toner Oki Page 14ex","Toner Oki Page 14ex",1,"56.20",FALSO,FALSO,"SMR","N012",FALSO,VERO
15619,12046,"MU124","Italy","Toner, cartucce","Ricoh","Toner Ricoh 1220D","Toner Ricoh 1220D",1,"30.90",FALSO,VERO,"SMR","N010",FALSO,VERO
15620,12047,"MU125","Italy","Toner, cartucce","Ricoh","Toner Ricoh 2220D","Toner Ricoh 2220D",1,"23.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15621,12048,"MU126","Italy","Toner, cartucce","Ricoh","Toner Ricoh 1140L SP1000","Toner Ricoh 1140L SP1000",1,"84.86",FALSO,FALSO,"SMR","N010",FALSO,VERO
15622,12049,"MU127","Italy","Toner, cartucce","Ricoh","Toner Ricoh type 1027","Toner Ricoh type 1027",1,"21.41",FALSO,FALSO,"SMR","N010",FALSO,VERO
15623,12050,"MU128","Italy","Toner, cartucce","Ricoh","Toner Ricoh K163","Toner Ricoh K163",1,"67.19",FALSO,FALSO,"SMR","N012",FALSO,VERO
15624,12051,"MU129","Italy","Toner, cartucce","Samsung","Toner MLT-D1082S","Toner MLT-D1082S",1,"43.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
15625,12052,"MU130","Italy","Toner, cartucce","Samsung","Toner laser Samsung SCX 4216","Toner laser Samsung SCX 4216",1,"68.70",FALSO,FALSO,"SMR","N012",FALSO,VERO
15626,12053,"MU131","Italy","Toner, cartucce","Samsung","Toner laser Samsung K300A nero","Toner laser Samsung K300A nero",1,"42.77",FALSO,FALSO,"SMR","N012",FALSO,VERO
15627,12054,"MU132","Italy","Toner, cartucce","Samsung","Toner CLP M300A magenta","Toner CLP M300A magenta",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
15628,12055,"MU133","Italy","Toner, cartucce","Samsung","Toner CLP Y300A giallo","Toner CLP Y300A giallo",1,"31.74",FALSO,FALSO,"SMR","N012",FALSO,VERO
15629,12056,"MU134","Italy","Toner, cartucce","Samsung","Toner CLP C300A ciano","Toner CLP C300A ciano",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
0,0,"MU135","Italy","Toner, cartucce","Samsung","Toner Samsung MLT-D1042S (SCX3200)","Toner Samsung MLT-D1042S (SCX3200)",1,5093,FALSO,FALSO,"SMR","N012",FALSO,VERO
15630,12057,"MU136","Italy","Toner, cartucce","Toner compatibili","Toner HP 5949X compatibile","Toner HP 5949X compatibile",1,"59.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15631,12058,"MU137","Italy","Toner, cartucce","Toner compatibili","Toner HP 2612A compatibile","Toner HP 2612A compatibile",1,"34.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
15632,12059,"MU138","Italy","Toner, cartucce","Toner compatibili","Toner FX3 compatibile","Toner FX3 compatibile",1,"24.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
15633,12060,"MU139","Italy","Toner, cartucce","Toner compatibili","Toner HP 4096A compatibile","Toner HP 4096A compatibile",1,"39.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15634,12061,"MU140","Italy","Toner, cartucce","Toner compatibili","Toner HP 7115X compatibile","Toner HP 7115X compatibile",1,"33.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15635,12062,"MU141","Italy","Toner, cartucce","Toner compatibili","Toner HP 3906A compatibile","Toner HP 3906A compatibile",1,"22.90",FALSO,FALSO,"SMR","N012",FALSO,VERO
15636,12063,"MU142","Italy","Toner, cartucce","Toner compatibili","Toner HP 6470A compatibile","Toner HP 6470A compatibile",1,"73.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15637,12064,"MU143","Italy","Toner, cartucce","Toner compatibili","Toner HP 6471A compatibile","Toner HP 6471A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15638,12065,"MU144","Italy","Toner, cartucce","Toner compatibili","Toner HP 6472A compatibile","Toner HP 6472A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15639,12066,"MU145","Italy","Toner, cartucce","Toner compatibili","Toner HP 6473A compatibile","Toner HP 6473A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15640,12067,"MU146","Italy","Toner, cartucce","Toner compatibili","Toner Lexmark 250 compatibile","Toner Lexmark 250 compatibile",1,"47.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15641,12068,"MU147","Italy","Toner, cartucce","Toner compatibili","Toner HP 92298X compatibile","Toner HP 92298X compatibile",1,"41.00",FALSO,VERO,"SMR","N012",FALSO,VERO
15642,12069,"MU148","Italy","Toner, cartucce","Toner compatibili","Toner HP 7553X compatibile","Toner HP 7553X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15643,12070,"MU149","Italy","Toner, cartucce","Toner compatibili","Toner HP 7551X compatibile","Toner HP 7551X compatibile",1,"98.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15644,12071,"MU150","Italy","Toner, cartucce","Toner compatibili","Toner HP 8061X compatibile","Toner HP 8061X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15645,12072,"MU151","Italy","Toner, cartucce","Toner compatibili","Toner Hp CB436A Compatibile","Toner Hp CB436A Compatibile",1,"41.79",FALSO,FALSO,"SMR","N012",FALSO,VERO
15646,12073,"MU152","Italy","Toner, cartucce","Toner compatibili","Toner HP 505X","Toner HP 505X",1,"86.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
15647,12074,"MU153","Italy","Toner, cartucce","HP","Toner HP C4127X","Toner HP C4127X",1,"89.59",FALSO,FALSO,"SMR",2,FALSO,VERO
15648,12075,"MU154","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
15649,12076,"MU155","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 giallo (C8773EE)","Cartuccia Hp N.363 giallo (C8773EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
15650,12077,"MU156","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 ciano chiaro (C8774EE)","Cartuccia Hp N.363 ciano chiaro (C8774EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
15651,12078,"MU157","Italy","Toner, cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
15652,12079,"MU158","Italy","Toner, cartucce","HP","Toner HP Q7553X","Toner HP Q7553X",1,"104.99",FALSO,FALSO,"SMR","N012",FALSO,VERO
15653,12080,"MU159","Italy","Toner, cartucce","HP","Toner HP Q6470A","Toner HP Q6470A",1,"93.71",FALSO,FALSO,"SMR","N012",FALSO,VERO
15654,12081,"MU160","Italy","Toner, cartucce","HP","Toner HP Q6471A","Toner HP Q6471A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
15655,12082,"MU161","Italy","Toner, cartucce","HP","Toner HP Q6472A","Toner HP Q6472A",1,"93.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
15656,12083,"MU162","Italy","Toner, cartucce","HP","Toner HP Q6473A","Toner HP Q6473A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
15657,12084,"MU163","Italy","Toner, cartucce","HP","Cartuccia HP 339","Cartuccia HP 339",2,"35.71",FALSO,VERO,"SMR","N012",FALSO,VERO
15658,12085,"MU164","Italy","Toner, cartucce","HP","Cartuccia HP 344","Cartuccia HP 344",2,"38.39",FALSO,VERO,"SMR","N012",FALSO,VERO
15659,12086,"MU165","Italy","Toner, cartucce","HP","Cartuccia HP 56","Cartuccia HP 56",2,"25.94",FALSO,VERO,"SMR","N012",FALSO,VERO
15660,12087,"MU166","Italy","Toner, cartucce","HP","Cartuccia HP 57","Cartuccia HP 57",2,"39.39",FALSO,VERO,"SMR","N012",FALSO,VERO
15661,12088,"MU167","Italy","Toner, cartucce","HP","Ink Jet HP N.337 (C9364EE)","Ink Jet HP N.337 (C9364EE)",1,"14.89",FALSO,FALSO,"SMR","N012",FALSO,VERO
15662,12089,"MU168","Italy","Toner, cartucce","HP","Cartuccia HP 6625A (DJ840C)","Cartuccia HP 6625A (DJ840C)",1,"21.85",FALSO,FALSO,"SMR","N012",FALSO,VERO
15663,12090,"MU169","Italy","Toner, cartucce","HP","Cartuccia HP N.15","Cartuccia HP N.15",1,"20.22",FALSO,FALSO,"SMR","N012",FALSO,VERO
15664,12091,"MU170","Italy","Toner, cartucce","HP","Toner HP 2613A","Toner HP 2613A",1,"53.14",FALSO,FALSO,"SMR","N012",FALSO,VERO
15665,12092,"MU171","Italy","Toner, cartucce","HP","Cartuccia HP N.350 Nero","Cartuccia HP N.350 Nero",1,"22.07",FALSO,FALSO,"SMR","N012",FALSO,VERO
15666,12093,"MU172","Italy","Toner, cartucce","HP","Cartuccia HP N.351 Color","Cartuccia HP N.351 Color",1,"13.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
15667,12094,"MU173","Italy","Toner, cartucce","HP","Cartuccia Hp C9385S black","Cartuccia Hp C9385S black",1,"15.23",FALSO,FALSO,"SMR","N012",FALSO,VERO
15668,12095,"MU174","Italy","Toner, cartucce","HP","Cartuccia HP C9386A cyan","Cartuccia HP C9386A cyan",1,"11.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
15669,12096,"MU175","Italy","Toner, cartucce","HP","Cartuccia HP C9387A magenta","Cartuccia HP C9387A magenta",1,"11.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
15670,12097,"MU176","Italy","Toner, cartucce","HP","Cartuccia HP C9388A yellow","Cartuccia HP C9388A yellow",1,"11.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
15671,12098,"MU177","Italy","Toner, cartucce","HP","Toner HP Q6000A","Toner HP Q6000A",1,"60.45",FALSO,FALSO,"SMR","N012",FALSO,VERO
15672,12099,"MU178","Italy","Toner, cartucce","HP","Toner HP Q6001A","Toner HP Q6001A",1,"58.81",FALSO,FALSO,"SMR","N012",FALSO,VERO
15673,12100,"MU179","Italy","Toner, cartucce","HP","Toner HP Q6002A","Toner HP Q6002A",1,"58.81",FALSO,FALSO,"SMR","N012",FALSO,VERO
15674,12101,"MU180","Italy","Toner, cartucce","HP","Toner HP Q6003A","Toner HP Q6003A",1,"58.81",FALSO,FALSO,"SMR","N012",FALSO,VERO
15675,12102,"MU181","Italy","Toner, cartucce","HP","Cartuccia HP C4844ae Nero","Cartuccia HP C4844ae Nero",1,"24.44",FALSO,FALSO,"SMR","N012",FALSO,VERO
15676,12103,"MU182","Italy","Toner, cartucce","HP","Cartuccia HP C4838ae Giallo","Cartuccia HP C4838ae Giallo",1,"24.65",FALSO,FALSO,"SMR","N012",FALSO,VERO
15677,12104,"MU183","Italy","Toner, cartucce","HP","Cartuccia HP C4837ae Magenta","Cartuccia HP C4837ae Magenta",1,"24.65",FALSO,FALSO,"SMR","N012",FALSO,VERO
15678,12105,"MU184","Italy","Toner, cartucce","HP","Cartuccia HP C4836ae Ciano","Cartuccia HP C4836ae Ciano",1,"24.65",FALSO,FALSO,"SMR","N012",FALSO,VERO
15679,12106,"MU185","Italy","Toner, cartucce","HP","Toner HP 7551X","Toner HP 7551X",1,"155.71",FALSO,FALSO,"SMR","N012",FALSO,VERO
15680,12107,"MU186","Italy","Toner, cartucce","HP","Toner HP CB436A","Toner HP CB436A",1,"57.36",FALSO,FALSO,"SMR","N012",FALSO,VERO
15681,12108,"MU187","Italy","Toner, cartucce","HP","Cartuccia HP 342","Cartuccia HP 342",1,"13.69",FALSO,FALSO,"SMR","N012",FALSO,VERO
15682,12109,"MU188","Italy","Toner, cartucce","HP","Cartuccia HP 5016A n.84","Cartuccia HP 5016A n.84",1,"29.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
15683,12110,"MU189","Italy","Toner, cartucce","HP","Toner HP 5949A","Toner HP 5949A",1,"43.12",FALSO,VERO,"SMR","N012",FALSO,VERO
15684,12111,"MU190","Italy","Toner, cartucce","HP","Ink Jet HP N.44 (51644 Y Giallo)","Ink Jet HP N.44 (51644 Y Giallo)",1,"26.39",FALSO,FALSO,"SMR","N012",FALSO,VERO
15685,12112,"MU191","Italy","Toner, cartucce","HP","Toner HP C8061X","Toner HP C8061X",1,"57.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15686,12113,"MU192","Italy","Toner, cartucce","HP","Toner HP CE505X","Toner HP CE505X",1,"104.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15687,12114,"MU193","Italy","Toner, cartucce","HP","Cartuccia HP n.363 ciano (C8771EE)","Cartuccia HP n.363 ciano (C8771EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
15688,12115,"MU194","Italy","Toner, cartucce","HP","Cartuccia HP n.363 magenta (C8772EE)","Cartuccia HP n.363 magenta (C8772EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
15689,12116,"MU195","Italy","Toner, cartucce","HP","Cartuccia HP N.20 (C6614DE)","Cartuccia HP N.20 (C6614DE)",1,"26.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15690,12117,"MU196","Italy","Toner, cartucce","HP","Cartuccia HP 300XL nero","Cartuccia HP 300XL nero",1,"19.42",FALSO,FALSO,"SMR","N012",FALSO,VERO
15691,12118,"MU197","Italy","Toner, cartucce","HP","Cartuccia HP 300XL colore","Cartuccia HP 300XL colore",1,"22.83",FALSO,FALSO,"SMR","N012",FALSO,VERO
15692,12119,"MU198","Italy","Toner, cartucce","HP","Ink Jet HP n.27 nero","Ink Jet HP n.27 nero",1,"13.63",FALSO,FALSO,"SMR","N012",FALSO,VERO
15693,12120,"MU199","Italy","Toner, cartucce","HP","Ink Jet HP n.28 color","Ink Jet HP n.28 color",1,"16.55",FALSO,FALSO,"SMR","N012",FALSO,VERO
15694,12121,"MU200","Italy","Toner, cartucce","HP","Ink Jet HP N901 CC656AE colore","Ink Jet HP N901 CC656AE colore",1,"13.75",FALSO,FALSO,"SMR","N012",FALSO,VERO
15695,12122,"MU201","Italy","Toner, cartucce","HP","Ink Jet HP N901XL CC654AE nero","Ink Jet HP N901XL CC654AE nero",1,"19.31",FALSO,FALSO,"SMR","N012",FALSO,VERO
15696,12123,"MU202","Italy","Toner, cartucce","HP","Toner HP C4127X","Toner HP C4127X",1,"89.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
15697,12124,"MU203","Italy","Toner, cartucce","HP","Toner HP C7115X","Toner HP C7115X",1,"53.39",FALSO,FALSO,"SMR","N012",FALSO,VERO
15698,12125,"MU204","Italy","Toner, cartucce","HP","Toner HP C3903A","Toner HP C3903A",1,"63.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
15699,12126,"MU205","Italy","Toner, cartucce","HP","Toner HP C3906A","Toner HP C3906A",1,"45.87",FALSO,FALSO,"SMR","N012",FALSO,VERO
15700,12127,"MU206","Italy","Toner, cartucce","HP","Toner HP C4092A","Toner HP C4092A",1,"43.13",FALSO,FALSO,"SMR","N012",FALSO,VERO
15701,12128,"MU207","Italy","Toner, cartucce","HP","Toner HP C4096A","Toner HP C4096A",1,"60.54",FALSO,FALSO,"SMR","N012",FALSO,VERO
15702,12129,"MU208","Italy","Toner, cartucce","HP","Toner HP 92298X","Toner HP 92298X",1,"77.90",FALSO,FALSO,"SMR","N012",FALSO,VERO
15703,12130,"MU209","Italy","Toner, cartucce","HP","Toner HP Q2612A","Toner HP Q2612A",1,"50.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15704,12131,"MU210","Italy","Toner, cartucce","HP","Toner HP Q2610A","Toner HP Q2610A",1,"84.93",FALSO,VERO,"SMR","N012",FALSO,VERO
15705,12132,"MU211","Italy","Toner, cartucce","HP","Toner HP 92274A","Toner HP 92274A",1,"71.67",FALSO,VERO,"SMR","N012",FALSO,VERO
15706,12133,"MU212","Italy","Toner, cartucce","HP","Toner HP C6658A","Toner HP C6658A",1,"17.70",FALSO,VERO,"SMR","N012",FALSO,VERO
15707,12134,"MU213","Italy","Toner, cartucce","HP","Cartuccia HP n.45 (51645A)","Cartuccia HP n.45 (51645A)",1,"22.92",FALSO,FALSO,"SMR","N012",FALSO,VERO
15708,12135,"MU214","Italy","Toner, cartucce","HP","Cartuccia Hp 51649Ae N.49","Cartuccia Hp 51649Ae N.49",1,"22.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
15709,12136,"MU215","Italy","Toner, cartucce","HP","Toner HP 5949X","Toner HP 5949X",2,"177.37",FALSO,FALSO,"SMR","N012",FALSO,VERO
15710,12137,"MU216","Italy","Toner, cartucce","HP","Toner HP Q5949X","Toner HP C5949X",1,"93.24",FALSO,FALSO,"SMR","N012",FALSO,VERO
15711,12138,"MU217","Italy","Toner, cartucce","HP","Toner HP C8765A","Toner HP C8765A",1,"12.71",FALSO,VERO,"SMR","N012",FALSO,VERO
15712,12139,"MU218","Italy","Toner, cartucce","HP","Toner HP C8766A","Toner HP C8766A",1,"15.80",FALSO,VERO,"SMR","N012",FALSO,VERO
15713,12140,"MU219","Italy","Toner, cartucce","HP","Toner HP C8767A","Toner HP C8767A",1,"19.25",FALSO,VERO,"SMR","N012",FALSO,VERO
15714,12141,"MU220","Italy","Toner, cartucce","HP","Toner HP C9363A","Toner HP C9363A",1,"22.75",FALSO,VERO,"SMR","N012",FALSO,VERO
15715,12142,"MU221","Italy","Toner, cartucce","HP","Cartuccia HP N.338","Cartuccia HP N.338",1,"13.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15716,12143,"MU222","Italy","Toner, cartucce","HP","Cartuccia HP N.339","Cartuccia HP N.339",1,"19.25",FALSO,FALSO,"SMR","N012",FALSO,VERO
15717,12144,"MU223","Italy","Toner, cartucce","HP","Cartuccia HP N.343","Cartuccia HP N.343",1,"16.36",FALSO,FALSO,"SMR","N012",FALSO,VERO
15718,12145,"MU224","Italy","Toner, cartucce","HP","Cartuccia HP N.344","Cartuccia HP N.344",1,"22.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
15719,12146,"MU225","Italy","Toner, cartucce","HP","Cartuccia HP N.348","Cartuccia HP N.348",1,"17.72",FALSO,FALSO,"SMR","N012",FALSO,VERO
15720,12147,"MU226","Italy","Toner, cartucce","HP","Cartuccia HP n.40 (51640A)","Cartuccia HP n.40 (51640A)",1,"21.19",FALSO,VERO,"SMR","N010",FALSO,VERO
15721,12148,"MU227","Italy","Toner, cartucce","HP","Cartuccia HP N.78 (C6578DE)","Cartuccia HP N.78 ( C6578DE)",1,"24.75",FALSO,FALSO,"SMR","N012",FALSO,VERO
15722,12149,"MU228","Italy","Toner, cartucce","HP","Cartuccia HP nero N. 21","Cartuccia HP nero N. 21",1,"9.76",FALSO,FALSO,"SMR","N012",FALSO,VERO
15723,12150,"MU229","Italy","Toner, cartucce","HP","Cartuccia HP colore N.22","Cartuccia HP colore N.22",1,"11.62",FALSO,FALSO,"SMR","N012",FALSO,VERO
15724,12151,"MU230","Italy","Toner, cartucce","HP","Cartuccia HP n.23 C1823D","Cartuccia HP n.23 C1823D",1,"23.00",FALSO,VERO,"SMR","N012",FALSO,VERO
15725,12152,"MU231","Italy","Toner, cartucce","Compatibili","Cartuccia Ink Jet N.56 C6656A","Cartuccia Ink Jet N.56 C6656A",1,"15.20",FALSO,FALSO,"SMR","N012",FALSO,VERO
15726,12153,"MU232","Italy","Toner, cartucce","Compatibili","Cartuccia Ink Jet N.57 C6657A","Cartuccia Ink Jet N.57 C6657A",1,"24.98",FALSO,FALSO,"SMR","N012",FALSO,VERO
15727,12154,"MU233","Italy","Toner, cartucce","Compatibili","Kit 2 inkjet mutlipack SA308AE","Kit 2 inkjet mutlipack SA308AE",1,"44.15",FALSO,FALSO,"SMR","N012",FALSO,VERO
