"Object","Object","ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
14641,0,"AU0126","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Oxford","Raccoglitori Oxford",,,,FALSO,FALSO,"SMR","N010",,
14642,0,"AU0127","Italy","Archivio, organizzazione","Raccoglitori","Cartelle ad anelli","Cartelle ad anelli",,,,FALSO,FALSO,"SMR","N010",,
14644,0,"AU0128","Italy","Archivio, organizzazione","Raccoglitori","Copridorso","Copridorso",,,,FALSO,FALSO,"SMR","N010",,
14646,0,"AU0129","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Esselte","Raccoglitori Esselte",,,,FALSO,FALSO,"SMR","N010",,
14647,0,"AU0130","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitori Vic","Raccoglitori Vic",,,,FALSO,FALSO,"SMR","N010",,
14648,11552,"AU0131","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. rosso D.5 cf 12","Registratore dox 4 comm. Rosso D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14649,11553,"AU0132","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. blu D.5 cf 12","Registratore dox 4 comm. blu D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14650,11554,"AU0133","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. giallo D.5 cf 12","Registratore dox 4 comm. giallo D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14651,11555,"AU0134","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 4 comm. verde D.5 cf 12","Registratore dox 4 comm. verde D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14652,11556,"AU0135","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 5 prot. rosso D.5 cf 12","Registratore dox 5 prot. rosso D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14653,11557,"AU0136","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 5 prot. blu D.5 cf 12","Registratore dox 5 prot. blu D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14654,11558,"AU0137","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 5 prot. verde D.5 cf 12","Registratore dox 5 prot. verde D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14655,11559,"AU0138","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. rosso D.8","Registratore dox 1 comm. rosso D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
14656,11560,"AU0139","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. blu D.8","Registratore dox 1 comm. blu D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
14657,11561,"AU0140","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. giallo D.8","Registratore dox 1 comm. giallo D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
14658,11562,"AU0141","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 1 comm. verde D.8","Registratore dox 1 comm. verde D.8 cf 12",6,"24.65",,FALSO,FALSO,"SMR","N010",,
14659,11563,"AU0142","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 2 prot. rosso D.5 cf 12","Registratore dox 2 prot. rosso D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14660,11564,"AU0143","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 2 prot. blu D.5 cf 12","Registratore dox 2 prot. blu D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14661,11565,"AU0144","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 2 prot. giallo D.5 cf 12","Registratore dox 2 prot. giallo D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14662,11566,"AU0145","Italy","Archivio, organizzazione","Raccoglitori","Registratore dox 2 prot. verde D.5 cf 12","Registratore dox 2 prot. verde D.5 cf 12",1,"41.40",,FALSO,VERO,"SMR","N010",,
14663,11567,"AU0146","Italy","Archivio, organizzazione","Raccoglitori","Portariviste trasp. d/muro orizzontale 36x18x6 (art. 41313P)","Portariviste trasp. d/muro orizzontale 36x18x6 (art. 41313P)",1,"6.65",,FALSO,VERO,"SMR","N010",,
14664,11568,"AU0147","Italy","Archivio, organizzazione","Raccoglitori","Registratore con custodia neutro protocollo dorso 8 conf. 12","Registratore con custodia neutro protocollo dorso 8 conf. 12",1,"1.91",,FALSO,VERO,"SMR","N010",,
14665,11569,"AU0148","Italy","Archivio, organizzazione","Raccoglitori","Cartella Spring a tre lembi colori assortiti 190 gr","Cartella Spring a tre lembi colori assortiti 190 gr",1,"5.20",,FALSO,VERO,"SMR","N010",,
14666,11570,"AU0149","Italy","Archivio, organizzazione","Raccoglitori","Cartella manilla semplice senza lembi 190 gr grigio","Cartella manilla semplice senza lembi 190 gr grigio",1,"5.10",,FALSO,VERO,"SMR","N010",,
14667,11571,"AU0150","Italy","Archivio, organizzazione","Raccoglitori","Cartella manilla semplice senza lembi 190 gr colori assortiti","Cartella manilla semplice senza lembi 190 gr colori assortiti",1,"5.10",,FALSO,VERO,"SMR","N010",,
14668,11572,"AU0151","Italy","Archivio, organizzazione","Raccoglitori","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 25 mm (art. 24129Y)","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 25 mm (art. 24129Y)",1,"2.73",,FALSO,VERO,"SMR","N010",,
14669,11573,"AU0152","Italy","Archivio, organizzazione","Raccoglitori","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 35 mm (art. 24132M)","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 35 mm (art. 24132M)",1,"3.02",,FALSO,VERO,"SMR","N010",,
14670,11574,"AU0153","Italy","Archivio, organizzazione","Raccoglitori","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 45 mm (art. 24134Z)","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 45 mm (art. 24134Z)",1,"3.28",,FALSO,VERO,"SMR","N010",,
14671,11575,"AU0154","Italy","Archivio, organizzazione","Raccoglitori","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 65 mm (art. 26799S)","Racc. C. Express 4A D bianco f.u. 22x30 cm. Diam. 65 mm (art. 26799S)",1,"5.17",,FALSO,VERO,"SMR","N010",,
14672,11576,"AU0155","Italy","Archivio, organizzazione","Raccoglitori","Portalistino personalizzabile PPL 30 buste 22x30 (art. 27812K)","Portalistino personalizzabile PPL 30 buste 22x30 (art. 27812K)",1,"2.68",,FALSO,VERO,"SMR","N010",,
14673,11577,"AU0156","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore personalizzabile 4 anelli bianco mm20","Raccoglitore personalizzabile 4 anelli bianco mm20",1,"3.77",,FALSO,VERO,"SMR","N010",,
14674,11578,"AU0157","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore personalizzabile 4 anelli bianco mm30","Raccoglitore personalizzabile 4 anelli bianco mm30",1,"4.15",,FALSO,VERO,"SMR","N010",,
14675,11579,"AU0158","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore personalizzabile 4 anelli bianco mm35","Raccoglitore personalizzabile 4 anelli bianco mm35",1,"4.33",,FALSO,VERO,"SMR","N010",,
14676,11580,"AU0159","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore personalizzabile 4 anelli bianco mm40","Raccoglitore personalizzabile 4 anelli bianco mm40",1,"4.34",,FALSO,VERO,"SMR","N010",,
14677,11581,"AU0160","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore personalizzabile 4 anelli bianco mm52","Raccoglitore personalizzabile 4 anelli bianco mm52",1,"4.96",,FALSO,VERO,"SMR","N010",,
14678,11582,"AU0161","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore personalizzabile 4 anelli bianco mm65","Raccoglitore personalizzabile 4 anelli bianco mm65",1,"7.42",,FALSO,VERO,"SMR","N010",,
14679,11583,"AU0162","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 protocollo blu","Raccoglitore Elica d8 protocollo blu",1,"1.52",,FALSO,FALSO,"SMR","N010",,
14680,11584,"AU0163","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 protocollo rosso","Raccoglitore Elica d8 protocollo rosso",1,"1.52",,FALSO,FALSO,"SMR","N010",,
14681,11585,"AU0164","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 protocollo verde","Raccoglitore Elica d8 protocollo verde",1,"1.50",,FALSO,FALSO,"SMR","N010",,
14682,11586,"AU0165","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 protocollo nero","Raccoglitore Elica d8 protocollo nero",1,"1.52",,FALSO,FALSO,"SMR","N010",,
14683,11587,"AU0166","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 protocollo giallo","Raccoglitore Elica d8 protocollo giallo",1,"1.52",,FALSO,FALSO,"SMR","N010",,
14684,11588,"AU0167","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 commerciale blu","Raccoglitore Elica d8 commerciale blu",1,"1.50",,FALSO,FALSO,"SMR","N010",,
14685,11589,"AU0168","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 commerciale rosso","Raccoglitore Elica d8 commerciale rosso",1,"1.50",,FALSO,FALSO,"SMR","N010",,
14686,11590,"AU0169","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 commerciale verde","Raccoglitore Elica d8 commerciale verde",1,"1.50",,FALSO,FALSO,"SMR","N010",,
14687,11591,"AU0170","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 commerciale nero","Raccoglitore Elica d8 commerciale nero",1,"1.52",,FALSO,FALSO,"SMR","N010",,
14688,11592,"AU0171","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Elica d8 commerciale giallo","Raccoglitore Elica d8 commerciale giallo",1,"1.50",,FALSO,FALSO,"SMR","N010",,
14689,11593,"AU0172","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Eurofile G54 blu","Raccoglitore Eurofile G54 blu",8,"36.58",,FALSO,FALSO,"SMR","N010",,
14690,11594,"AU0173","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Eurofile G55 blu","Raccoglitore Eurofile G55 blu",6,"27.43",,FALSO,FALSO,"SMR","N010",,
14691,11595,"AU0174","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Delso line G15 protocollo","Raccoglitore Delso line G15 protocollo",6,"19.08",,FALSO,FALSO,"SMR","N010",,
14692,11596,"AU0175","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G85 protocollo.blu dorso 8","Registratore Oxford G85 protocollo.blu dorso 8 cf.12",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14693,11597,"AU0176","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G85 protocollo.verde dorso 8","Registratore Oxford G85 protocollo.verde dorso 8 cf.12",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14694,11598,"AU0177","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G85 protocollo.rosso dorso 8","Registratore Oxford G85 protocollo.rosso dorso 8 cf.12",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14695,11599,"AU0178","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G83 comm. blu dorso 8","Registratore Oxford G83 comm. blu dorso 8",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14696,11600,"AU0179","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G83 comm. verde dorso 8","Registratore Oxford G83 comm. verde dorso 8",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14697,11601,"AU0180","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G83 comm. rosso dorso 8","Registratore Oxford G83 comm. rosso dorso 8",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14698,11602,"AU0181","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G84 protocollo blu dorso 5","Registratore Oxford G84 protocollo blu dorso 5",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14699,11603,"AU0182","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G84 protocollo rosso dorso 5","Registratore Oxford G84 protocollo rosso dorso 5",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14700,11604,"AU0183","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G84 protocollo verde dorso 5","Registratore Oxford G84 protocollo verde dorso 5",1,"1.73",,FALSO,FALSO,"SMR","N010",,
14701,11605,"AU0184","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G81 Memorandum blu","Registratore Oxford G81 Memorandum blu",1,"1.64",,FALSO,FALSO,"SMR","N010",,
14702,11606,"AU0185","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G81 Memorandum rosso","Registratore Oxford G81 Memorandum rosso",1,"1.64",,FALSO,FALSO,"SMR","N010",,
14703,11607,"AU0186","Italy","Archivio, organizzazione","Raccoglitori","Registratore Oxford G81 Memorandum verde","Registratore Oxford G81 Memorandum verde",1,"1.64",,FALSO,FALSO,"SMR","N010",,
14704,11608,"AU0187","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Vic protocollo dorso 8","Raccoglitore Vic protocollo dorso 8",1,"1.55",,FALSO,FALSO,"SMR","N010",,
14705,11609,"AU0188","Italy","Archivio, organizzazione","Raccoglitori","Raccoglitore Vic commerciale dorso 8","Raccoglitore Vic commerciale dorso 8",1,"1.55",,FALSO,FALSO,"SMR","N010",,
14706,11610,"AU0189","Italy","Archivio, organizzazione","Registri, rubriche","Libro firma","Libro firma",1,"7.88",,FALSO,FALSO,"SMR","N010",,
14707,11611,"AU0190","Italy","Archivio, organizzazione","Registri, rubriche","Rubrica telefonica 15 x21","Rubrica telefonica 15 x21",1,"8.82",,FALSO,FALSO,"SMR","N010",,
14708,11612,"AU0191","Italy","Archivio, organizzazione","Registri, rubriche","Scheda carburante","Scheda carburante",50,"1.84",,FALSO,FALSO,"SMR","N010",,
14709,11613,"AU0192","Italy","Archivio, organizzazione","Registri, rubriche","Scheda carburante","Scheda carburante",12,"0.96",,FALSO,FALSO,"SMR","N010",,
14710,11614,"AU0193","Italy","Archivio, organizzazione","Registri, rubriche","Portabiglietti da visita a buste fisse","Portabiglietti da visita a buste fisse",1,"3.32",,FALSO,FALSO,"SMR","N010",,
14711,11615,"AU0194","Italy","Archivio, organizzazione","Registri, rubriche","Portabiglietti da visita blu a 4 anelli","Portabiglietti da visita blu a 4 anelli",1,"7.48",,FALSO,FALSO,"SMR","N010",,
14712,11616,"AU0195","Italy","Archivio, organizzazione","Registri, rubriche","Registro Blasetti A4 quadri 48 fogli","Registro Blasetti A4 quadri 48 fogli",1,"2.99",,FALSO,FALSO,"SMR","N010",,
14713,11617,"AU0196","Italy","Archivio, organizzazione","Registri, rubriche","Registro Blasetti A4 quadri 72 fogli","Registro Blasetti A4 quadri 72 fogli",1,"3.97",,FALSO,FALSO,"SMR","N010",,
14714,11618,"AU0197","Italy","Archivio, organizzazione","Registri, rubriche","Buono di consegna EDIPRO E5196C","Buono di consegna EDIPRO E5196C",1,"1.34",,FALSO,FALSO,"SMR","N010",,
14715,11619,"AU0198","Italy","Archivio, organizzazione","Registri, rubriche","Registro Blasetti A4 righe 48 fogli","Registro Blasetti A4 righe 48 fogli",1,"2.99",,FALSO,FALSO,"SMR","N010",,
14716,11620,"AU0199","Italy","Archivio, organizzazione","Registri, rubriche","Registro Blasetti A4 righe 72 fogli","Registro Blasetti A4 righe 72 fogli",1,"2.99",,FALSO,FALSO,"SMR","N010",,
14717,11621,"AU0200","Italy","Archivio, organizzazione","Registri, rubriche","Portabiglietti da visita alfabetico","Portabiglietti da visita alfabetico",1,"9.07",,FALSO,FALSO,"SMR","N010",,
14718,11622,"AU0201","Italy","Archivio, organizzazione","Registri, rubriche","Registro di carico e scarico rifiuti","Registro di carico e scarico rifiuti",1,"3.39",,FALSO,FALSO,"SMR","N010",,
14719,11623,"AU0202","Italy","Archivio, organizzazione","Scatole archivio","Scatola per archivio Storage 23X33","Scatola per archivio Storage 23X33",1,"20.16",,FALSO,FALSO,"SMR","N010",,
14720,11624,"AU0203","Italy","Archivio, organizzazione","Scatole archivio","Scatola per archivio Storage 26x37","Scatole elica 25x35",1,"0.85",,FALSO,VERO,"SMR","N010",,
14721,11625,"AU0204","Italy","Archivio, organizzazione","Scatole archivio","Scatola archivio storage 26x37","Scatola archivio storage 26x37",32,"27.20",,FALSO,FALSO,"SMR","N010",,
14722,11626,"AU0205","Italy","Archivio, organizzazione","Scatole archivio","Contenitore per 4 scatole Elica","Contenitore per 4 scatole Elica",12,"51.93",,FALSO,FALSO,"SMR","N010",,
14723,11627,"AU0206","Italy","Archivio, organizzazione","Separatori, divisori","Copert. C.E carton.goffr. A4 250gr./mq bian sc.100","Copert. C.E carton.goffr. A4 250gr./mq bian sc.100",1,"12.58",,FALSO,VERO,"SMR","N010",,
14724,11628,"AU0207","Italy","Archivio, organizzazione","Separatori, divisori","Copertina Polytranspar opaco PVC20/100","Copertina Polytranspar opaco PVC20/100",100,"12.11",,FALSO,VERO,"SMR","N010",,
14725,11629,"AU0208","Italy","Archivio, organizzazione","Separatori, divisori","Copertina trasparente 25/100 C.Express A4","Copertina trasparente 25/100 C.Express A4",100,"12.50",,FALSO,VERO,"SMR","N010",,
14726,11630,"AU0209","Italy","Archivio, organizzazione","Separatori, divisori","Copertina trasparente 15/100 C.Express A4","Copertina trasparente 15/100 C.Express A4",100,"7.76",,FALSO,VERO,"SMR","N010",,
14727,11631,"AU0210","Italy","Archivio, organizzazione","Separatori, divisori","Dorsi plastici tondi C.E.dm6mm 25fg.BLU","Dorsi plastici tondi C.E.dm6mm 25fg.BLU sc100",100,"4.79",,FALSO,VERO,"SMR","N010",,
14728,11632,"AU0211","Italy","Archivio, organizzazione","Separatori, divisori","Dorsi plastici tondi C.E.dm8mm 45fg.BLU","Dorsi plastici tondi C.E.dm8mm 45fg.BLU sc100",100,"5.50",,FALSO,VERO,"SMR","N010",,
14729,11633,"AU0212","Italy","Archivio, organizzazione","Separatori, divisori","Dorsi plastici tondi C.E. dm10mm.70fg.BLU","Dorsi plastici tondi C.E. dm10mm.70fg.BLUsc100",100,"6.32",,FALSO,VERO,"SMR","N010",,
14730,11634,"AU0213","Italy","Archivio, organizzazione","Separatori, divisori","Dorsi plastici tondi C.E.dm12mm.100fg.BLU","Dorsi plastici tondi C.E.dm12mm.100fg.BLU sc100",100,"8.71",,FALSO,VERO,"SMR","N010",,
14731,11635,"AU0214","Italy","Archivio, organizzazione","Separatori, divisori","Dorsi plastici tondi C.E.dm14mm.125fg.BLU","Dorsi plastici tondi C.E.dm14mm.125fg.BLUsc100",100,"9.95",,FALSO,VERO,"SMR","N010",,
14732,11636,"AU0215","Italy","Archivio, organizzazione","Separatori, divisori","Dorsi plastici tondi C.E.dm16mm.145fg.BLU","Dorsi plastici tondi C.E.dm16mm.145fg.BLU  sc100",100,"10.25",,FALSO,VERO,"SMR","N010",,
14733,0,"AU0216","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio 13x23 bianco","Divisorio 13x23 bianco",,"2.84",,FALSO,VERO,"SMR","N010",,
14734,11637,"AU0217","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio 13x23 bianco","Divisorio 13x23 bianco",1000,"17.00",,FALSO,FALSO,"SMR","N010",,
14735,0,"AU0218","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio 13x23 rosa","Divisorio 13x23 rosa",,"3.50",,FALSO,VERO,"SMR","N010",,
14736,11638,"AU0219","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio 13x23 rosa","Divisorio 13x23 rosa",1000,"21.00",,FALSO,FALSO,"SMR","N010",,
14737,11639,"AU0220","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 4 fori giallo","Divisorio in cartoncino 4 fori giallo",100,"3.59",,FALSO,FALSO,"SMR","N010",,
14738,11640,"AU0221","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 4 fori azzurro","Divisorio in cartoncino 4 fori azzurro",100,"3.59",,FALSO,FALSO,"SMR","N010",,
14739,11641,"AU0222","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 4 fori verde","Divisorio in cartoncino 4 fori verde",100,"3.59",,FALSO,FALSO,"SMR","N010",,
14740,11642,"AU0223","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 4 fori rosso","Divisorio in cartoncino 4 fori rosso",100,"3.59",,FALSO,FALSO,"SMR","N010",,
14741,11643,"AU0224","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 4 fori arancio","Divisorio in cartoncino 4 fori arancio",100,"49.88",,FALSO,FALSO,"SMR","N010",,
14742,11644,"AU0225","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 4 fori camoscio","Divisorio in cartoncino 4 fori camoscio",100,"3.59",,FALSO,FALSO,"SMR","N010",,
14743,11645,"AU0226","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 4 fori grigio","Divisorio in cartoncino 4 fori grigio",100,"3.59",,FALSO,FALSO,"SMR","N010",,
14744,11646,"AU0227","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 2 fori giallo","Divisorio in cartoncino 2 fori giallo",100,"2.60",,FALSO,FALSO,"SMR","N010",,
14745,11647,"AU0228","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 2 fori azzurro","Divisorio in cartoncino 2 fori azzurro",100,"2.60",,FALSO,FALSO,"SMR","N010",,
14746,11648,"AU0229","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 2 fori verde","Divisorio in cartoncino 2 fori verde",100,"2.60",,FALSO,FALSO,"SMR","N010",,
14747,11649,"AU0230","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 2 fori rosso","Divisorio in cartoncino 2 fori rosso",100,"2.60",,FALSO,FALSO,"SMR","N010",,
14748,11650,"AU0231","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 2 fori arancio","Divisorio in cartoncino 2 fori arancio",100,"2.60",,FALSO,FALSO,"SMR","N010",,
14749,11651,"AU0232","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 2 fori camoscio","Divisorio in cartoncino 2 fori camoscio",100,"2.70",,FALSO,FALSO,"SMR","N010",,
14750,11652,"AU0233","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio in cartoncino 2 fori grigio","Divisorio in cartoncino 2 fori grigio",100,"2.70",,FALSO,FALSO,"SMR","N010",,
14751,11653,"AU0234","Italy","Archivio, organizzazione","Separatori, divisori","Fastener in metallo","Fastener in metallo",50,"5.21",,FALSO,FALSO,"SMR","N010",,
14752,11654,"AU0235","Italy","Archivio, organizzazione","Separatori, divisori","Separatore alfabetico A-Z A4","Separatore alfabetico A-Z A4",1,"0.75",,FALSO,FALSO,"SMR","N010",,
14753,11655,"AU0236","Italy","Archivio, organizzazione","Separatori, divisori","Separatore esselte A4 tasti scrivibili","Separatore esselte A4 tasti scrivibili",1,"0.72",,FALSO,FALSO,"SMR","N010",,
14754,11656,"AU0237","Italy","Archivio, organizzazione","Separatori, divisori","Salvabuchi","Salvabuchi",500,"1.93",,FALSO,FALSO,"SMR","N010",,
14755,11657,"AU0238","Italy","Archivio, organizzazione","Separatori, divisori","Divisorio 2 fori 14x25 blu","Divisorio 2 fori 14x25 blu",200,"6.75",,FALSO,FALSO,"SMR","N010",,
14756,11658,"AU0239","Italy","Archivio, organizzazione","Separatori, divisori","Separatore numerico A4 31 tasti","Separatore numerico A4 31 tasti",1,"1.57",,FALSO,FALSO,"SMR","N010",,
14757,11659,"AU0240","Italy","Archivio, organizzazione","Separatori, divisori","Cavalierini autoadesivi in colori assortiti","Cavalierini autoadesivi in colori assortiti",48,"3.55",,FALSO,FALSO,"SMR","N010",,
14758,11660,"AU0241","Italy","Archivio, organizzazione","Separatori, divisori","Dorso 3L File Strips","Dorso 3L File Strips",100,"23.69",,FALSO,FALSO,"SMR","N010",,
